Date,Portfolio,NIFTY 50
2024-01-02,99.67243093311151,99.6499863948976
2024-01-03,99.3879436185741,98.96719800378247
2024-01-04,99.98954704176182,99.61686522450485
2024-01-05,100.10005261258883,99.85696002273833
2024-01-08,99.38047752038405,98.94719234973726
2024-01-09,99.95113694665254,99.09368188746292
2024-01-10,100.53030630331199,99.43334681117328
2024-01-11,100.29464005648666,99.56443010880577
2024-01-12,101.42047725478098,100.70210233642143
2024-01-15,102.3087493559862,101.63531624070134
2024-01-16,102.01082341042138,101.33567160831174
2024-01-17,100.83064796783891,99.21832420891651
2024-01-18,100.67228255713519,98.71377209167241
2024-01-19,101.4949249043409,99.45037003273399
2024-01-23,100.04104273703504,97.68603663738642
2024-01-24,100.89981255723252,98.67559336257852
2024-01-25,100.36255845782094,98.2094445551877
2024-01-29,101.84275788198553,99.98021892671417
2024-01-30,100.84467503373263,98.98904522005455
2024-01-31,101.80114848331276,99.9254841040391
2024-02-01,102.29022403675567,99.79555065989463
2024-02-02,102.94829855812186,100.51467621787675
2024-02-05,103.3608879317897,100.13705714583188
2024-02-06,104.2146365788194,100.86239011600316
2024-02-07,103.98915931271733,100.86744767470428
2024-02-08,103.15456117227548,99.88983864591097
2024-02-09,103.3961922956353,100.18673440980581
2024-02-12,102.5489513937958,99.42116555078476
2024-02-13,103.11057268833935,100.00620741218916
2024-02-14,103.32826382506795,100.45143427603654
2024-02-15,103.33512026847241,100.77660924915197
2024-02-16,104.24619304314457,101.3742994989244
2024-02-19,104.8071370274261,101.74938530000352
2024-02-20,104.9723542154071,102.09295792892704
2024-02-21,104.22623575964931,101.44030827572014
2024-02-22,105.25456240874644,102.18724591494338
2024-02-23,105.44002625382977,102.1653986986713
2024-02-26,105.20377374126706,101.74846901050527
2024-02-27,105.97154403692939,102.09939890510593
2024-02-28,105.02812437732048,100.96242736945953
2024-02-29,105.22169836242166,101.10800061768694
2024-03-01,106.74369502694685,102.74515842061516
2024-03-04,107.02107759594026,103.05262744666139
2024-03-05,107.13381641530594,102.82588172876518
2024-03-06,107.27514685109425,103.36746272161517
2024-03-07,107.5737522693097,103.45715129367949
2024-03-11,107.08743724790943,102.7171037921539
2024-03-12,107.04859343889308,102.73112661476932
2024-03-13,105.31813979791586,101.17652469898766
2024-03-14,106.03020490800338,101.86161279707879
2024-03-15,105.3663013320708,101.29450146350297
2024-03-18,105.55389545487837,101.44329070820464
2024-03-19,104.09729271254416,100.34748033413663
2024-03-20,104.07952501733175,100.4470594428439
2024-03-21,105.23731731671941,101.2420663478039
2024-03-22,106.11768803258481,101.63210024422706
2024-03-26,106.24832114854146,101.20872059665176
2024-03-27,106.90466908695413,101.75582627618238
2024-03-28,107.86388414600725,102.6906571619298
2024-04-01,108.30374530484002,103.3120361902012
2024-04-02,108.17827312887327,103.2720248821108
2024-04-03,107.82806537552467,103.18624401525962
2024-04-04,108.36388748269476,103.55419713142095
2024-04-05,108.151919470353,103.5498222982283
2024-04-08,109.1265485362386,104.25170005389037
2024-04-09,108.95006320001353,104.14338026202823
2024-04-10,109.39155064021402,104.65414877469183
2024-04-12,107.76817587003882,103.57604434769303
2024-04-15,106.57245326378091,102.44044724629401
2024-04-16,106.12292963029644,101.8673620645188
2024-04-18,105.05077240801867,101.1680175798225
2024-04-19,105.45194961598405,101.86322079531591
2024-04-22,106.43165244800117,102.73435159447398
2024-04-23,106.55674640034023,102.87969127871162
2024-04-24,106.87862265469667,103.03791291530706
2024-04-25,107.66914570314616,103.81038089525615
2024-04-26,107.42461776043208,103.11862724022673
2024-04-29,108.30395079924946,104.1463716777431
2024-04-30,108.00220988370776,103.9690606766007
2024-05-02,108.71228742301714,104.16844347477453
2024-05-03,107.60736153902212,103.37573627679053
2024-05-06,107.14884915172418,103.2232639076351
2024-05-07,106.73487657451346,102.57842966485448
2024-05-08,107.22563959114902,102.57842966485448
2024-05-09,105.75161782208215,100.9916318514087
2024-05-10,106.33389001936091,101.44099100122858
2024-05-13,106.41034925438228,101.66567955936891
2024-05-14,106.72836949760737,102.18908747717022
2024-05-15,106.86203107578925,102.10952300573854
2024-05-16,107.55776758784312,103.04457847224535
2024-05-17,107.73257858090595,103.3308919907584
2024-05-21,107.78938003834064,103.62043048897608
2024-05-22,108.59088084165869,103.93664019817723
2024-05-23,109.93316008813119,105.63773165168458
2024-05-24,109.54282766069224,105.58920424119864
2024-05-27,109.22151904624582,105.47582689063535
2024-05-28,108.83600428963396,105.27207824249922
2024-05-29,107.98433665961412,104.42831036306353
2024-05-30,107.0114832817483,103.43461236866851
2024-05-31,106.77741820147575,103.62801233541259
2024-06-03,109.38365210828181,107.00030803496952
2024-06-04,105.05091521547574,100.65587463291148
2024-06-05,108.2290564902397,104.04035159285696
2024-06-06,108.91152854088936,104.96506736120207
2024-06-07,111.12436257612066,107.12104265120996
2024-06-10,111.37235499384832,106.97868539945681
2024-06-11,111.08806425774841,107.00467388493178
2024-06-12,111.046912672795,107.27189803889787
2024-06-13,111.32254182800874,107.62122891849177
2024-06-14,111.58454119117367,107.92800623579915
2024-06-18,111.81823839372097,108.35253573686244
2024-06-19,110.79954116647832,108.15981849562687
2024-06-20,110.70056803838706,108.39438860717972
2024-06-21,110.40136447664214,108.09128543109574
2024-06-24,110.50136506457582,108.26031389383235
2024-06-25,110.87899340413581,109.10408177326805
2024-06-26,111.38580432952551,109.78249533119052
2024-06-27,112.17447238591127,110.59060876926769
2024-06-28,112.22147999957153,110.43468683964825
2024-07-01,112.75470556383486,111.03881806559959
2024-07-02,112.93001337847647,110.95557046971416
2024-07-03,113.17909969708518,111.70366694565577
2024-07-04,113.5295891905207,111.77564957065091
2024-07-05,113.8948839165634,111.87545326011752
2024-07-08,113.6252211207927,111.86028058401409
2024-07-09,114.98157695939742,112.37839737912448
2024-07-10,114.72640043387085,111.87821111184265
2024-07-11,114.7707082335891,111.8391160932505
2024-07-12,115.59248927030961,112.69553236105425
2024-07-15,116.0320046784521,113.08440742075905
2024-07-16,116.19346092077794,113.20537560098924
2024-07-18,117.01839280108524,114.06937371522955
2024-07-19,115.83482581581939,112.82776551217475
2024-07-22,116.26726827361695,112.72818640346752
2024-07-23,117.15600293585331,112.58928769540874
2024-07-24,117.52055570681222,112.2877925175619
2024-07-25,118.1536861347257,112.2537550576709
2024-07-26,120.31678479119373,114.22575378959809
2024-07-29,120.1092201686082,114.23150305703811
2024-07-30,120.53952097247456,114.32901602275909
2024-07-31,121.16469172415334,114.7606692255098
2024-08-01,121.28070770870558,115.03548420914281
2024-08-02,119.62444453232341,113.68693064847324
2024-08-05,116.62864611781245,110.641660467489
2024-08-06,116.7808299104372,110.35167280775258
2024-08-07,118.07233988896466,111.75426049912795
2024-08-08,117.36211089229485,110.92406628078892
2024-08-09,118.37172462792441,112.07621947576914
2024-08-12,118.27566001272338,111.9819314897528
2024-08-13,117.65387497634414,111.0252533877333
2024-08-14,117.89193685547248,111.04710060400538
2024-08-16,119.53733541234391,112.87490950518293
2024-08-19,119.57045698111128,113.01979104467146
2024-08-20,120.05284415143005,113.60023349212382
2024-08-21,120.69743718658708,113.92839988095413
2024-08-22,120.92870046465511,114.11835927046458
2024-08-23,121.41893560794985,114.17194423965165
2024-08-26,122.38318839186088,115.03410079166505
2024-08-27,122.30691467758501,115.06698839806803
2024-08-28,122.58907106867427,115.22612632416174
2024-08-29,123.09910476248848,115.68422615713654
2024-08-30,123.67217445687606,116.07035234834657
2024-09-02,123.48750986731407,116.26720187555466
2024-09-03,123.50313072447732,116.27249299824555
2024-09-04,123.3020050675164,115.89924875939333
2024-09-05,123.23909727464502,115.6527219682113
2024-09-06,121.79627760295521,114.30532724426013
2024-09-09,122.2155094379558,114.69282786971753
2024-09-10,122.88237906046365,115.17438291720154
2024-09-11,122.10150547348955,114.6102629993406
2024-09-12,124.15115246907999,116.77406268300514
2024-09-13,123.70442199845657,116.62503987431371
2024-09-16,123.83674219158827,116.75037390450618
2024-09-17,123.97564047879608,116.91043710332852
2024-09-18,123.19672103200989,116.72186113129584
2024-09-19,123.5988904388274,116.89778871496048
2024-09-20,125.0924475235396,118.62325167247528
2024-09-23,125.53939541313916,119.30443206535327
2024-09-24,125.06284956595186,119.31063947754241
2024-09-25,125.13032860469129,119.60385211698348
2024-09-26,126.20884071942172,120.5784697300619
2024-09-27,126.82443084563857,120.40782428585777
2024-09-30,125.21224596442406,118.71478180676647
2024-10-01,125.05461237432391,118.650623575428
2024-10-03,122.35673689208318,116.13566043317307
2024-10-04,121.43783199076582,115.05249844747311
2024-10-07,120.45649421603555,114.04591850072032
2024-10-08,121.05416713723234,115.04583289053483
2024-10-09,121.10451993667542,114.90232578529367
2024-10-10,120.3878265254406,114.97821611550194
2024-10-11,120.1661145392938,114.82091975163513
2024-10-14,120.75028739110645,115.57384022228811
2024-10-15,120.54122820084652,115.24912339392182
2024-10-16,119.86200463887944,114.85334921328901
2024-10-17,119.03725518708472,113.83480360367666
2024-10-18,119.26216672503453,114.31406792741505
2024-10-21,118.83217770315116,113.97853528967721
2024-10-22,117.46471711817537,112.55731637850401
2024-10-23,116.8436214062814,112.38897962450626
